"id","apelido","posicao_id"
"71055","Pato Rodríguez","4"
"73974","Alison","4"
"70986","Léo Cittadini","4"
"38243","Léo","4"
"84896","Lucas Otávio","4"
"71668","Anderson Carvalho","4"
"78840","Pedro Castro","4"
"89306","Paulinho","4"
"84927","Dodô","4"
"51318","Leandro Donizete","4"
"73863","Claudinei","4"
"78994","Eduardo","4"
"60784","Rafael Carioca","4"
"69240","Dátolo","4"
"70581","Fillipe Soutto","4"
"84851","Lucas Cândido","4"
"38440","Pierre","4"
"37851","Maicosuel","4"
"36790","Josué","4"
"36802","Ronaldinho Gaúcho","4"
"85403","Daniel","4"
"37694","Henrique","4"
"79701","Lucas Silva","4"
"38921","Júlio Baptista","4"
"81845","Alisson","4"
"51772","Éverton Ribeiro","4"
"87401","Eurico","4"
"38573","Nilton","4"
"68833","Ricardo Goulart","4"
"80944","Marlone","4"
"37794","Tinga","4"
"63058","Willian Farias","4"
"50382","Charles","4"
"89924","Bruno","4"
"67953","Riveros","4"
"82703","Matheus Biteco","4"
"86436","Alan Ruiz","4"
"78715","Ramiro","4"
"70116","Fellipe Bastos","4"
"88479","Walace","4"
"86754","Guilherme Amorim","4"
"36612","Zé Roberto","4"
"51548","Giuliano","4"
"61033","Rodriguinho","4"
"37792","Edinho","4"
"83963","Leandro Canhoto","4"
"89227","Balbino","4"
"89467","Erick Samuel","4"
"84530","Maxi Rodríguez","4"
"77911","Jean Deretti","4"
"79064","Guilherme Biteco","4"
"82639","Marcelo Hermes","4"
"77670","Gladestony","4"
"88366","Martín Luque","4"
"81091","Jair","4"
"38074","Ygor","4"
"78530","Matheus Bertotto","4"
"62129","Wellington","4"
"85423","Valdivia","4"
"54424","Willians","4"
"62023","D'Alessandro","4"
"38219","Alex","4"
"68685","Alan Patrick","4"
"89275","William","4"
"69325","Aránguiz","4"
"87273","Carlinhos","4"
"78458","João Afonso","4"
"80585","Otávio","4"
"89815","Gustavo Ferrareis","4"
"39230","Neto Coruja","4"
"37818","Hugo","4"
"89676","Nickson","4"
"38763","Marcinho","4"
"79733","Leilson ","4"
"72745","Escudero","4"
"73771","Mineiro","4"
"72943","Luís Cáceres","4"
"71117","Vander","4"
"86859","José Welison","4"
"88478","Darlan","4"
"85400","Marcelo","4"
"73634","Felipe Lima","4"
"70225","Luís Aguiar","4"
"49641","Adriano","4"
"86792","Mauri","4"
"74017","Josa","4"
"71032","Lucas Zen","4"
"82821","Gabriel Soares","4"
"71581","Léo Costa","4"
"37826","Paulo Baier","4"
"50425","Roger Gaúcho","4"
"50454","Serginho","4"
"38032","Cleber Santana","4"
"68830","Ricardinho","4"
"38357","Martinez","4"
"50908","Wellington Bruno","4"
"73383","Rafael Costa","4"
"78936","Rodrigo Souza","4"
"80399","Higor","4"
"86931","Ruan","4"
"89224","Barreto","4"
"54250","Maylson","4"
"68987","João Vitor","4"
"89883","Dodi","4"
"68689","Anderson Uchoa","4"
"86144","Luizinho Mello","4"
"50329","Lulinha","4"
"68846","Thiago Humberto","4"
"81148","Ronaldo Mendes","4"
"68892","Everton","4"
"83506","Vítor Michels","4"
"80320","Diego Oliveira","4"
"89914","Gabriel ","4"
"71123","Thiago Mendes","4"
"84997","Paulo","4"
"37783","Ramon","4"
"86943","Liniker","4"
"42232","Amaral","4"
"72168","João Paulo","4"
"88917","Murilo Henrique","4"
"86935","Rodrigo","4"
"70992","Juliano","4"
"38695","David","4"
"70058","Tiago Real","4"
"86934","Túlio","4"
"70914","Raphael Luz","4"
"71039","Leandro","4"
"84857","Rafael Tavares","4"
"86936","Ray","4"
"86942","Abuda","4"
"73957","Ewerton Páscoa ","4"
"38021","Wendel","4"
"68834","Rithely","4"
"68911","Diego Souza","4"
"87743","Léo","4"
"82647","Régis","4"
"38369","Ibson","4"
"51985","Anderson Pedra","4"
"81952","Willian","4"
"87742","Neto","4"
"44857","Naldinho","4"
"84188","Welton","4"
"77567","Zé Mário","4"
"71042","Augusto","4"
"85149","Ronaldo","4"
"89466","Horácio","4"
"38579","Rodrigo Mancha","4"
"42540","Bileu","4"
"88671","Guilherme","4"
"73051","Robert Flores","4"
"60822","Renan Oliveira","4"
"38986","Aílton","4"
"86519","Everton Felipe","4"
"79713","Carlos Alberto","4"
"83266","Marcos Guilherme ","4"
"56102","João Paulo","4"
"74078","Hernani","4"
"50292","Paulinho Dias","4"
"82463","Otávio ","4"
"69018","Deivid","4"
"87009","Nathan","4"
"87227","Zé Paulo","4"
"71778","Bady","4"
"82466","Bruno Pelissari","4"
"82468","Willyan Sotto","4"
"70311","Fran Mérida","4"
"84707","Jonatan Lucca","4"
"86765","Bruno Mota","4"
"74077","Maycon Canário","4"
"78176","Harrison","4"
"60791","Derley","4"
"82381","Juninho","4"
"73684","Mirabaje","4"
"79335","Éverton","4"
"84794","Matteus ","4"
"37654","Rosinei","4"
"73511","Dudu Figueiredo","4"
"78965","Roni","4"
"73445","Denner","4"
"84104","Luizinho","4"
"80374","Norberto ","4"
"63014","Gil","4"
"86588","Ícaro","4"
"74076","Misael","4"
"73338","Djair","4"
"38638","Germano","4"
"36522","Alex","4"
"42490","Jajá","4"
"51681","Hélder","4"
"74140","Elber","4"
"82455","Zé Rafael ","4"
"82630","Calyson","4"
