"id","rodada","clube_casa_id","clube_visitante_id","placar_oficial_mandante","placar_oficial_visitante","idTemporada"
892,"14","275","277","1","1",3
893,"14","276","327","3","0",3
894,"14","283","293","0","3",3
895,"14","284","316","2","1",3
896,"14","287","266","0","0",3
897,"14","294","263","0","0",3
898,"14","303","292","2","1",3
899,"14","315","264","0","2",3
900,"14","344","285","1","0",3
901,"15","263","262","3","3",3
902,"15","264","276","1","1",3
903,"15","266","283","2","0",3
904,"15","277","303","3","1",3
905,"15","282","294","2","1",3
906,"15","285","275","0","1",3
907,"15","292","284","4","2",3
908,"15","293","287","1","1",3
909,"15","316","315","1","1",3
910,"15","327","344","0","3",3
911,"16","262","327","2","1",3
912,"16","264","316","1","1",3
913,"16","275","282","0","1",3
914,"16","283","292","1","2",3
915,"16","284","276","1","0",3
916,"16","287","277","2","3",3
917,"16","293","266","1","0",3
918,"16","303","285","2","2",3
919,"16","315","263","2","1",3
